MUNICIPIO,CODIGO DANE INSTITUCIÓN,ESTABLECIMIENTO EDUCATIVO,CODIGO DANE SEDE,SEDE,VEREDA
BOAVITA,115097000028,INSTITUCIÓN EDUCATIVA TECNICO AGRICOLA -,215097000201,RIO DEABAJO,RIO DE ABAJO
BOAVITA,115097000036,INSTITUCIÓN EDUCATIVA TECNICA  Y ACADEMICA NUESTRA SEÑORA DEL ROSARIO,215097000057,LA PUERTA,SACACHOVA
BOAVITA,115097000036,INSTITUCIÓN EDUCATIVA TECNICA  Y ACADEMICA NUESTRA SEÑORA DEL ROSARIO,215097000235,EL MELONAL,EL ESPIGON SECTOR MELONAL
BOAVITA,115097000036,INSTITUCIÓN EDUCATIVA TECNICA  Y ACADEMICA NUESTRA SEÑORA DEL ROSARIO,215097000171,LA ESTRELLA,RIO DE ABAJO
BOAVITA,115097000036,INSTITUCIÓN EDUCATIVA TECNICA  Y ACADEMICA NUESTRA SEÑORA DEL ROSARIO,215097000294,EL CARMELO,CACOTA
BOAVITA,115097000265,INSTITUCIÓN EDUCATIVA TECNICO INDUSTRIAL MARISCAL SUCRE,215097000227,RIO DE ARRIBA,RIO DE ARRIBA
BOAVITA,115097000265,INSTITUCIÓN EDUCATIVA TECNICO INDUSTRIAL MARISCAL SUCRE,215097000146,LA OVEJERA,LA CHORRERA SECTOR LA OVEJERA
BOAVITA,115097000265,INSTITUCIÓN EDUCATIVA TECNICO INDUSTRIAL MARISCAL SUCRE,215097000197,LA CABRERA,LA CHORERRA
BOAVITA,115097000265,INSTITUCIÓN EDUCATIVA TECNICO INDUSTRIAL MARISCAL SUCRE,215097000332,LA ESMERALDA,RIO DE ABAJO
BOYACÁ,115104000128,INSTITUCIÓN EDUCATIVA DE BOYACA,215104000076,PACHAQUIRA,PACHAQUIRA
BOYACÁ,115104000128,INSTITUCIÓN EDUCATIVA DE BOYACA,215104000106,RUPAGUATA,RUPAGUATA
BOYACÁ,115104000128,INSTITUCIÓN EDUCATIVA DE BOYACA,215104000131,SIRAQUITA,SIRAQUITA
